x,y,z,Class
-12.52,80.29,-250.14,yaw
-81.82,101.7,-250.14,yaw
72.51,94.08,-250.14,yaw
-105.93,84.06,-198.44,yaw
-1.6,-50.79,134.38,yaw
175.16,-110.46,250.13,yaw
32.42,99.05,250.13,yaw
-77.75,58.82,182.99,yaw
-50.85,-86.81,1.15,yaw
-55.17,21.41,-250.14,yaw
-25.24,137.59,-250.14,yaw
19.45,60.43,-234.6,yaw
-7.47,-67.87,43.76,yaw
23.53,-126.89,250.13,yaw
193.15,-42.38,250.13,yaw
-112.72,116.7,192.58,yaw
37.08,15.6,-171.08,yaw
-66.93,-2.71,-250.14,yaw
58.87,72.12,-250.14,yaw
1.89,73.72,-250.14,yaw
-24.55,-28.5,145.45,yaw
35.6,-87.44,250.13,yaw
168.64,-21.53,250.13,yaw
-17.51,59.21,250.13,yaw
-36.5,8.41,0.97,yaw
30.49,115.01,-250.14,yaw
6.5,139.34,-250.14,yaw
-69.06,59.35,-248.46,yaw
-2.34,10.49,-9.15,yaw
-8.37,-122.89,250.13,yaw
118.57,-56.23,250.13,yaw
-47.6,52.15,250.13,yaw
37.62,-17.69,-33.83,yaw
1.83,47.84,-250.14,yaw
-91.14,107.09,-250.14,yaw
-13.73,46.11,-250.14,yaw
2.5,22.59,-14.82,yaw
59.79,-98.4,250.13,yaw
122.31,59.35,250.13,yaw
-53.71,71.07,250.13,yaw
65.31,-33.54,-94.67,yaw
-72.82,-150.05,-250.14,yaw
1.67,123.08,-250.14,yaw
-50.02,77.34,-250.14,yaw
-16.15,-10.08,192.53,yaw
133.27,-11.16,250.13,yaw
0.95,159.21,250.13,yaw
-19.56,2.6,-21.73,yaw
24.67,88.27,-250.14,yaw
-69.92,34.3,-250.14,yaw
129.81,28.67,-250.14,yaw
-177.73,-19.33,-76.4,yaw
65.64,-6.72,250.13,yaw
187.24,-92.08,250.13,yaw
-54.82,157.25,250.13,yaw
5.75,6.75,20.43,yaw
-40.64,123.38,-250.14,yaw
-60.61,66.02,-250.14,yaw
12.8,-22.31,-250.14,yaw
-233.39,-6.79,-124.56,yaw
221.85,-40.59,250.13,yaw
100.11,-8.85,250.13,yaw
-111.85,135.92,250.13,yaw
47.18,-24.24,-39.52,yaw
-30.6,11.34,-250.14,yaw
-80.57,-6.18,-250.14,yaw
-18.15,-80.09,-250.14,yaw
-110.05,5.7,19.76,yaw
143.19,-25.3,250.13,yaw
96.09,-34.16,250.13,yaw
-110.22,134.4,250.13,yaw
62.34,-31.43,-52.69,yaw
-28.96,198.15,-250.14,yaw
-45.83,108.75,-250.14,yaw
40.84,-62.21,-250.14,yaw
27.63,50.27,173.39,yaw
152.6,-16.75,250.13,yaw
41.05,1.72,250.13,yaw
120.82,-84.46,11.4,yaw
-11.11,-46.37,-165.34,yaw
-224.55,18.73,-250.14,yaw
58.05,32.82,-250.14,yaw
-122.02,65.25,-21.66,yaw
96.46,-105.77,250.13,yaw
96.64,-28.53,250.13,yaw
-0.37,71.03,250.13,yaw
-10.47,-49,-75.85,yaw
0.87,68.09,-250.14,yaw
37.68,250.13,-250.14,yaw
-73.37,-122.93,-250.14,yaw
15.4,-42.27,164.73,yaw
239.11,-170.79,250.13,yaw
39.85,-24.43,250.13,yaw
-79.65,134.54,250.13,yaw
-11.34,-17.82,-88.11,yaw
-40.48,36.78,-250.14,yaw
20.9,226.38,-250.14,yaw
-40.33,37.99,-250.14,yaw
10.9,-26.95,250.13,yaw
208.87,-136.39,250.13,yaw
151.79,31.72,250.13,yaw
-158.78,115.43,140.37,yaw
-51.36,77.37,-204.83,yaw
-49.27,151.98,-250.14,yaw
90.63,78.65,-250.14,yaw
-174.71,-42.37,-126.76,yaw
151.21,-8.02,250.13,yaw
185.89,-66.87,250.13,yaw
-36.73,117.56,250.13,yaw
-28.47,67.89,-11.68,yaw
-26.94,145.1,-250.14,yaw
9.12,215.92,-250.14,yaw
-11.2,50.18,-250.14,yaw
-9.15,-55.33,139.64,yaw
197.52,-85.75,250.13,yaw
-7.83,24.47,250.13,yaw
-164.59,111.98,172.39,yaw
45.82,-34.35,-134.5,yaw
-8.2,-42.55,-250.14,yaw
-24.64,74.83,-250.14,yaw
-158.41,-15.24,-175.1,yaw
99.87,-15.55,250.13,yaw
250.13,-25.51,250.13,yaw
-13.21,155.19,250.13,yaw
-96.69,-1.92,49.94,yaw
38.21,117.16,-250.14,yaw
-30.6,47.61,-250.14,yaw
-49.45,-7.12,-250.14,yaw
-67.5,-13.68,16.03,yaw
175.76,-86.53,250.13,yaw
104.89,44.29,250.13,yaw
-49.4,81.79,242.05,yaw
20.44,-6.73,-84,yaw
-2.21,-57.68,-250.14,yaw
-4.24,48.94,-250.14,yaw
-123.79,-20.51,-155.14,yaw
89.91,-39.06,250.13,yaw
159.47,-33.95,250.13,yaw
0.24,13.34,250.13,yaw
-67.14,75.85,17.3,yaw
10.72,72.18,-250.14,yaw
-65.9,40.74,-250.14,yaw
-34.23,82.54,-250.14,yaw
-7.95,-20.94,101.66,yaw
106.73,-99.94,250.13,yaw
75.98,11.13,250.13,yaw
-201.15,110.9,186.18,yaw
66.7,-50.35,-95.19,yaw
-10.49,13.64,-250.14,yaw
-96.29,4.43,-250.14,yaw
-71.5,18.76,-193.3,yaw
69.15,-21.78,209.71,yaw
230.69,157.37,250.13,yaw
82.65,51.55,250.13,yaw
-153.63,77.44,16.15,yaw
-24.5,8.51,-250.14,yaw
-75.44,-9.04,-250.14,yaw
-51.51,9.03,-250.14,yaw
-70.34,36.25,-17.53,yaw
82.02,-53.31,250.13,yaw
180.8,95.18,250.13,yaw
-97.72,38.34,250.13,yaw
-36.89,-2.25,-23.2,yaw
-59.18,31.74,-250.14,yaw
-125.82,7.43,-250.14,yaw
-114.33,21.87,-250.14,yaw
25.24,28.35,103.56,yaw
166.43,20.37,250.13,yaw
228.78,-19.4,250.13,yaw
-95.11,73.52,174.14,yaw
-67.02,49.68,-153.65,yaw
-29.32,-45.05,-250.14,yaw
11.95,94.45,-250.14,yaw
-205.44,-71.43,-119.24,yaw
127.09,52.07,250.13,yaw
105.87,-8.33,250.13,yaw
27.15,96.25,250.13,yaw
-78.06,30.09,-15.68,yaw
